Restaurant Name,Types of Food,Price,Discount,Rating,Discount_Percentage,Coupon_Code
Eagles Pizza,Pizzas,150.0,50% off | Use TRYNEW,3.6,20.0,TRYNEW
Nazeer Juice Centre,Juices,300.0,15% off | Use TRYNEW,3.9,20.0,TRYNEW
A.M.TIFFIN CENTRE,South Indian,110.0,,0.0,20.0,
Lucky's Multicuisine restaurant,"Biryani, Chinese, North Indian, South Indian, Tandoor, Hyderabadi, Continental, ...",400.0,50% off | Use TRYNEW,3.7,20.0,TRYNEW
Bawarchi Express,"Biryani, Snacks, Chinese",280.0,20% off | Use TRYNEW,4.5,20.0,TRYNEW
HOTEL SWEEKAR,South Indian,80.0,,3.9,20.0,
Ghar Pakwan,"Hyderabadi, Indian",300.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
The Joint Shawarma,Indian,400.0,,3.7,20.0,
Famous Ice Cream,Ice Cream,150.0,10% off | Use TRYNEW,4.2,20.0,TRYNEW
Wendy's Burgers,"American, Burgers, Fast Food, Beverages, Snacks",200.0,,3.8,20.0,
Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",600.0,FLAT125 off | Use FLATDEAL,3.5,20.0,FLATDEAL
Break The Bread - Sandwiches And Burgers,"Continental, Fast Food",200.0,,3.4,20.0,
Sultan Darbar,"Biryani, Chinese, Tandoor, North Indian, Desserts",300.0,15% off | Use TRYNEW,4.1,20.0,TRYNEW
Sahadeva Reddy's Chaat Chowk,Chaat,300.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
99 Pancakes,"Desserts, Beverages",300.0,,3.8,20.0,
Brook Bite Brownie,Desserts,200.0,,0.0,20.0,
Imperial Multi Cuisine Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",400.0,,4.1,20.0,
FB Cakes,"Bakery, Sweets, Snacks",300.0,40% off | Use TRYNEW,3.8,20.0,TRYNEW
Tadka - Desi Food by Papaji,"North Indian, Fast Food, Snacks, Biryani, Tandoor",250.0,30% off | Use TRYNEW,4.0,20.0,TRYNEW
Gayathri Tiffins and Meals,South Indian,100.0,,0.0,20.0,
Ramnagar Bawarchi,"Indian, Biryani",300.0,,3.5,20.0,
